sex,age,address,Rural,Medu,Fedu,Mjob,Fjob,traveltime,studytime,minstudytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,freetimemins,goout,Dalc,Walc,health,absences,G1,G2,G3,Finalpercent
M,17,U,0,1,1,other,other,1,2,19,0,no,no,yes,no,no,yes,yes,no,4,3,224,3,1,2,4,2,12,10,11,0.55
F,18,U,0,4,4,teacher,other,1,2,23,0,no,yes,yes,no,yes,yes,yes,no,4,4,226,4,3,3,5,2,11,11,11,0.55
F,17,U,0,3,2,services,other,2,2,20,0,no,no,no,no,yes,yes,no,yes,1,2,235,3,1,2,5,2,12,12,11,0.55
M,16,U,0,2,2,other,other,1,2,27,0,no,no,no,no,yes,yes,yes,no,4,4,202,4,1,1,3,0,12,12,11,0.55
M,15,U,0,2,2,services,services,1,1,5,0,yes,yes,no,no,yes,yes,yes,no,5,4,214,1,1,1,1,0,8,8,11,0.55
F,15,U,0,4,4,services,services,1,1,0,0,yes,yes,yes,no,yes,yes,yes,no,3,3,203,4,2,3,5,0,8,10,11,0.55
F,16,U,0,2,2,other,other,1,4,88,0,no,no,yes,no,yes,yes,yes,yes,5,2,200,3,1,3,3,0,11,11,11,0.55
F,15,U,0,3,4,other,other,1,2,19,0,yes,no,no,yes,yes,yes,yes,yes,5,3,222,2,1,1,1,0,7,10,11,0.55
F,15,U,0,1,1,other,services,1,2,19,0,no,yes,yes,no,yes,yes,yes,no,4,4,228,2,1,2,5,0,8,11,11,0.55
M,17,U,0,3,2,teacher,services,1,1,5,1,no,no,no,no,yes,yes,yes,no,4,4,226,4,3,4,3,19,11,9,10,0.5
F,19,U,0,1,1,at_home,other,1,2,29,1,yes,yes,no,yes,no,yes,yes,no,4,4,232,3,1,3,3,18,12,10,10,0.5
F,17,R,1,3,1,at_home,other,1,2,20,0,no,yes,yes,yes,no,yes,yes,no,4,5,229,4,2,3,1,17,10,10,10,0.5
M,16,U,0,2,2,services,other,2,2,23,1,no,no,yes,yes,no,yes,yes,no,4,4,226,2,1,1,3,12,11,10,10,0.5
F,17,R,1,4,4,services,other,1,1,3,0,no,yes,yes,no,yes,yes,no,no,5,2,232,1,1,2,3,12,8,10,10,0.5
F,15,U,0,1,1,at_home,other,1,2,25,3,yes,no,yes,no,yes,yes,yes,no,4,3,234,2,2,3,3,10,7,8,10,0.5
M,16,U,0,3,2,at_home,other,2,3,53,0,no,no,no,yes,yes,yes,yes,yes,5,3,220,3,1,3,2,10,11,9,10,0.5
M,18,U,0,4,2,health,other,1,2,16,0,no,yes,yes,yes,yes,yes,yes,yes,5,4,225,5,1,3,5,10,10,9,10,0.5
F,16,U,0,2,1,other,other,1,2,29,0,no,no,yes,yes,yes,yes,yes,yes,5,3,216,4,1,1,2,8,8,9,10,0.5
M,15,U,0,4,0,teacher,other,2,4,68,0,no,no,no,yes,yes,yes,yes,no,3,4,235,3,1,1,1,8,11,11,10,0.5
F,15,R,1,3,3,services,services,2,3,56,2,no,yes,yes,yes,yes,yes,yes,yes,4,2,217,1,2,3,3,8,10,10,10,0.5
M,16,R,1,3,3,services,services,1,1,1,0,no,yes,no,yes,yes,yes,yes,no,4,3,208,2,3,4,5,8,8,9,10,0.5
M,16,R,1,3,3,teacher,other,3,1,9,0,no,yes,yes,yes,yes,yes,yes,no,3,3,201,4,3,5,3,8,9,9,10,0.5
M,18,U,0,4,3,teacher,services,2,1,12,0,no,no,yes,yes,yes,yes,yes,no,4,2,210,3,1,2,1,8,10,11,10,0.5
M,17,R,1,2,2,services,other,4,1,2,0,no,yes,no,no,yes,yes,yes,no,4,4,227,5,5,5,4,8,11,10,10,0.5
M,15,U,0,4,2,health,health,2,1,4,1,no,no,no,no,yes,yes,no,no,5,5,217,5,3,4,5,6,11,11,10,0.5
M,15,U,0,4,3,teacher,other,1,2,20,0,no,yes,yes,yes,yes,yes,yes,no,4,3,202,3,2,3,5,6,9,9,10,0.5
F,18,R,1,1,1,at_home,other,3,1,3,3,no,yes,no,yes,no,yes,no,no,5,2,222,5,1,5,4,6,9,8,10,0.5
F,16,U,0,2,3,other,other,1,2,21,0,yes,yes,yes,yes,yes,yes,no,no,4,4,230,3,1,3,4,6,8,10,10,0.5
F,16,U,0,1,1,at_home,other,2,1,14,0,no,yes,yes,no,yes,yes,no,no,4,3,229,2,1,4,5,6,9,9,10,0.5
M,16,U,0,3,3,at_home,other,3,2,20,0,yes,yes,no,no,no,yes,yes,no,5,3,218,3,1,3,2,6,7,10,10,0.5
F,16,U,0,3,3,other,other,1,2,16,0,no,yes,yes,no,yes,yes,no,no,4,3,238,2,1,2,5,4,6,10,10,0.5
F,16,U,0,3,3,other,other,3,2,18,0,yes,yes,no,yes,yes,yes,no,no,5,3,219,2,1,1,4,4,8,10,10,0.5
M,16,U,0,4,3,health,other,1,1,1,0,no,no,yes,yes,yes,yes,yes,no,3,1,226,3,1,3,5,4,8,10,10,0.5
M,16,U,0,2,2,other,other,1,2,25,0,no,no,no,no,yes,no,yes,no,4,3,227,5,2,4,4,4,10,10,10,0.5
M,17,R,1,1,2,at_home,other,1,2,21,0,no,no,no,no,yes,yes,no,no,3,1,210,3,1,5,3,4,8,9,10,0.5
F,17,U,0,1,1,other,other,1,2,27,0,no,yes,yes,no,no,yes,no,no,4,4,232,4,1,3,1,4,9,9,10,0.5
F,17,U,0,2,2,at_home,at_home,1,3,48,0,no,yes,yes,yes,yes,yes,yes,no,4,3,216,3,1,1,4,4,9,10,10,0.5
F,18,U,0,1,1,other,other,2,2,21,0,yes,no,no,yes,yes,yes,yes,no,5,4,216,4,1,1,4,4,8,9,10,0.5
F,17,R,1,3,2,other,other,1,2,23,0,no,yes,yes,no,yes,yes,yes,no,4,3,239,3,2,3,2,4,9,10,10,0.5
F,18,U,0,2,3,at_home,other,1,3,60,0,no,yes,no,no,yes,yes,yes,no,4,3,221,3,1,2,3,4,11,10,10,0.5
M,18,U,0,1,1,other,services,2,1,15,0,no,no,no,no,no,yes,yes,yes,3,3,216,2,1,2,3,4,10,10,10,0.5
M,18,R,1,1,3,at_home,other,2,2,30,0,no,yes,yes,no,yes,yes,no,no,3,3,235,4,2,4,3,4,10,10,10,0.5
F,18,R,1,4,4,teacher,services,1,2,18,0,no,no,yes,yes,yes,yes,yes,no,5,4,231,3,3,4,2,4,8,9,10,0.5
M,17,U,0,2,1,other,other,2,1,4,3,yes,yes,no,yes,yes,no,yes,no,4,5,226,1,1,1,3,2,8,8,10,0.5
F,15,U,0,1,1,other,other,1,2,23,0,no,yes,no,yes,no,yes,yes,no,4,3,210,2,2,3,4,2,9,10,10,0.5
F,15,R,1,1,1,at_home,other,2,4,69,1,yes,yes,yes,yes,yes,yes,yes,no,3,1,235,2,1,1,1,2,7,10,10,0.5
F,16,U,0,2,1,other,other,1,2,19,0,no,yes,yes,no,yes,yes,no,yes,4,3,240,5,1,1,5,2,8,9,10,0.5
M,17,U,0,1,3,at_home,services,1,1,0,0,no,no,no,no,yes,no,yes,no,5,3,232,3,1,4,2,2,10,10,10,0.5
M,17,U,0,3,1,services,other,1,2,26,0,no,no,yes,yes,yes,yes,yes,yes,5,4,239,4,3,4,5,2,9,9,10,0.5
F,17,U,0,2,4,at_home,health,2,2,21,0,no,yes,yes,no,yes,yes,yes,yes,4,3,215,3,1,1,1,2,10,10,10,0.5
F,18,R,1,1,1,other,other,4,3,38,0,no,no,no,no,yes,yes,yes,no,4,3,200,2,1,2,4,2,8,8,10,0.5
M,17,U,0,2,3,other,services,2,2,22,0,no,no,no,yes,yes,yes,yes,no,4,4,225,3,1,1,3,2,11,11,10,0.5
F,18,R,1,2,2,at_home,other,2,3,44,0,no,no,yes,no,yes,yes,no,no,5,3,233,3,1,3,4,2,10,9,10,0.5
F,15,U,0,4,3,services,services,1,2,24,0,yes,no,no,yes,yes,yes,yes,yes,4,4,210,4,2,4,2,0,10,10,10,0.5
M,15,U,0,4,2,other,other,1,4,101,0,no,no,no,no,yes,yes,yes,no,3,3,239,3,1,1,3,0,10,10,10,0.5
F,16,U,0,4,2,teacher,services,2,2,28,0,no,yes,yes,yes,yes,yes,yes,no,5,3,233,3,1,1,1,0,11,10,10,0.5
F,16,R,1,3,3,services,other,1,3,42,1,yes,yes,no,yes,yes,yes,yes,no,4,1,218,2,1,1,2,0,7,10,10,0.5
M,15,U,0,2,1,services,other,4,1,8,3,no,no,no,no,yes,yes,yes,no,4,5,213,5,2,5,5,0,8,9,10,0.5
M,17,U,0,4,4,teacher,other,1,2,29,0,no,yes,yes,yes,yes,yes,yes,no,4,4,237,4,1,3,5,0,13,11,10,0.5
F,16,U,0,4,4,teacher,teacher,1,2,26,0,no,yes,yes,no,yes,yes,yes,no,4,5,213,2,1,2,3,0,9,9,10,0.5
M,17,U,0,4,4,other,teacher,2,1,5,0,no,no,yes,no,yes,yes,yes,no,4,1,223,1,2,2,5,0,11,11,10,0.5
F,17,R,1,3,4,at_home,services,1,3,46,0,no,yes,yes,yes,no,yes,yes,no,4,3,201,4,2,5,5,0,11,11,10,0.5
F,18,R,1,3,2,other,services,2,2,19,0,no,no,no,no,no,no,yes,yes,4,1,231,1,1,1,5,75,10,9,9,0.45
F,17,U,0,3,4,at_home,services,1,3,57,1,no,yes,yes,no,yes,yes,yes,yes,4,4,204,3,3,4,5,28,10,9,9,0.45
M,18,U,0,4,4,teacher,services,2,1,7,0,no,no,yes,yes,yes,yes,yes,no,3,2,205,4,1,4,3,22,9,9,9,0.45
F,19,U,0,3,3,other,services,1,2,26,2,no,yes,yes,yes,yes,yes,yes,no,4,3,221,5,3,3,5,15,9,9,9,0.45
F,16,U,0,2,2,other,at_home,2,2,16,1,yes,no,no,yes,yes,yes,yes,no,4,3,205,3,2,2,5,14,10,10,9,0.45
M,18,U,0,2,1,at_home,other,4,2,28,0,yes,yes,yes,yes,yes,yes,yes,yes,4,3,205,2,4,5,3,14,10,8,9,0.45
M,17,U,0,4,4,teacher,teacher,1,2,17,0,yes,yes,no,yes,yes,yes,yes,yes,4,5,234,5,1,3,2,14,11,9,9,0.45
F,17,U,0,2,2,other,other,1,2,18,0,no,yes,no,no,yes,yes,no,yes,4,2,200,2,1,1,3,12,11,9,9,0.45
M,20,U,0,2,2,services,services,1,2,24,2,no,yes,yes,no,yes,yes,no,no,5,5,204,4,4,5,4,11,9,9,9,0.45
M,16,R,1,4,2,teacher,services,1,1,13,0,no,yes,no,yes,yes,yes,yes,yes,4,3,221,3,3,4,3,10,10,8,9,0.45
F,18,U,0,4,3,other,other,1,3,36,0,no,yes,yes,yes,yes,yes,yes,yes,4,3,228,4,1,1,5,9,9,10,9,0.45
M,15,R,1,2,1,health,services,1,2,19,0,no,no,no,yes,yes,yes,yes,yes,5,4,204,2,1,1,5,8,9,9,9,0.45
M,16,U,0,2,2,services,services,2,1,2,2,no,yes,no,yes,yes,yes,yes,no,2,3,226,3,2,2,2,8,9,9,9,0.45
F,17,U,0,4,4,teacher,services,1,3,55,0,no,yes,yes,yes,yes,yes,yes,no,5,4,215,4,1,3,4,7,10,9,9,0.45
F,17,U,0,3,3,health,other,1,2,27,0,no,yes,no,no,no,yes,yes,yes,3,3,234,3,1,3,3,6,8,7,9,0.45
M,19,U,0,1,1,other,at_home,1,1,7,0,no,no,no,no,yes,yes,yes,no,3,2,211,3,3,3,5,5,8,9,9,0.45
F,16,U,0,1,2,other,services,1,2,20,0,yes,no,no,yes,yes,yes,yes,no,4,4,218,3,1,1,1,4,8,10,9,0.45
F,16,U,0,3,3,other,other,2,2,28,0,no,yes,yes,yes,yes,yes,yes,no,4,4,213,5,1,1,4,4,10,11,9,0.45
M,17,U,0,4,3,teacher,other,2,2,16,0,no,no,yes,yes,yes,yes,yes,no,4,4,207,4,4,4,4,4,10,9,9,0.45
F,17,U,0,3,3,other,other,1,3,45,0,no,no,no,yes,no,yes,no,no,3,2,206,3,1,1,4,4,10,9,9,0.45
F,19,U,0,3,2,services,services,2,2,18,2,no,no,no,yes,yes,yes,no,yes,3,2,225,2,1,1,3,4,7,7,9,0.45
M,15,U,0,1,2,other,at_home,1,2,21,0,yes,yes,no,yes,yes,yes,yes,no,4,3,220,2,1,1,5,2,9,10,9,0.45
F,16,U,0,4,3,teacher,health,1,3,45,0,yes,yes,yes,yes,yes,yes,yes,no,3,4,227,4,2,4,4,2,10,9,9,0.45
F,19,U,0,0,1,at_home,other,1,2,26,3,no,yes,no,no,no,no,no,no,3,4,219,2,1,1,5,2,7,8,9,0.45
F,15,U,0,4,4,teacher,health,1,2,29,0,no,yes,yes,no,yes,yes,yes,no,3,3,205,3,1,2,2,0,10,8,9,0.45
F,17,U,0,1,1,at_home,services,1,2,27,0,no,no,no,yes,yes,yes,yes,no,5,3,206,3,1,1,3,0,8,8,9,0.45
F,17,U,0,3,3,other,other,1,2,19,0,no,yes,no,yes,yes,yes,yes,yes,5,3,202,3,2,3,1,56,9,9,8,0.4
M,19,U,0,4,4,teacher,services,2,1,2,1,no,yes,yes,no,yes,yes,yes,yes,4,3,220,4,1,1,4,38,8,9,8,0.4
M,17,U,0,4,1,services,other,2,1,15,0,no,no,yes,yes,yes,yes,yes,yes,4,5,214,4,2,4,5,30,8,8,8,0.4
M,17,R,1,1,3,other,other,3,2,26,1,no,yes,no,yes,yes,yes,yes,no,5,2,226,4,1,4,5,20,9,7,8,0.4
M,22,U,0,3,1,services,services,1,1,4,3,no,no,no,no,no,no,yes,yes,5,4,240,5,5,5,1,16,6,8,8,0.4
M,18,U,0,2,2,services,other,1,2,27,1,no,yes,yes,yes,yes,yes,yes,no,4,4,202,4,2,4,5,15,6,7,8,0.4
F,18,U,0,4,4,health,health,1,2,24,1,yes,yes,no,yes,yes,yes,yes,yes,2,4,208,4,1,1,4,15,9,8,8,0.4
F,16,U,0,2,2,services,services,1,1,6,2,no,yes,yes,no,no,yes,yes,no,1,2,208,2,1,3,5,14,6,9,8,0.4
M,18,U,0,3,3,services,health,1,2,20,1,no,yes,yes,no,yes,yes,yes,no,3,2,200,4,2,4,4,13,6,6,8,0.4
M,17,U,0,1,2,at_home,services,2,2,22,0,no,no,yes,yes,no,yes,yes,no,4,4,205,4,4,5,5,12,7,8,8,0.4
M,16,U,0,4,3,teacher,other,1,2,24,0,no,yes,yes,yes,yes,yes,yes,no,3,4,212,3,2,3,3,10,9,8,8,0.4
F,19,U,0,3,3,other,other,1,4,105,0,no,yes,yes,yes,yes,yes,yes,no,4,3,203,3,1,2,3,10,8,8,8,0.4
F,18,U,0,4,3,other,other,2,2,16,0,no,yes,yes,no,yes,yes,yes,yes,4,4,225,5,1,2,2,10,10,8,8,0.4
F,15,U,0,2,2,other,other,1,4,98,0,yes,yes,yes,no,yes,yes,yes,no,5,1,214,2,1,1,3,8,7,8,8,0.4
M,19,R,1,1,1,other,services,3,2,29,3,no,no,no,no,yes,yes,yes,no,5,4,222,4,3,3,2,8,8,7,8,0.4
M,18,U,0,1,3,at_home,services,1,1,11,1,no,no,no,no,yes,no,yes,yes,4,3,229,3,2,3,3,7,8,7,8,0.4
F,15,U,0,4,4,services,services,2,2,24,2,no,no,yes,no,yes,yes,yes,yes,4,4,218,4,2,3,5,6,7,9,8,0.4
M,18,U,0,2,1,services,services,1,1,9,1,no,no,no,no,no,no,yes,no,3,2,203,5,2,5,5,4,6,9,8,0.4
M,19,R,1,1,1,other,other,3,1,6,1,no,yes,no,no,yes,yes,yes,no,4,4,238,4,3,3,5,4,8,8,8,0.4
F,17,U,0,2,3,at_home,other,2,1,1,0,no,yes,yes,no,yes,yes,no,no,3,3,201,3,1,4,3,3,7,7,8,0.4
F,15,R,1,2,4,services,health,1,3,36,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,224,2,1,1,5,2,10,9,8,0.4
F,15,R,1,2,2,health,services,2,2,25,0,yes,yes,yes,no,yes,yes,yes,no,4,1,200,3,1,3,4,2,8,9,8,0.4
M,15,R,1,2,3,at_home,services,1,2,25,0,yes,no,yes,yes,yes,yes,no,no,4,4,239,4,1,1,1,2,11,8,8,0.4
M,17,U,0,1,1,health,other,2,1,9,1,no,yes,no,yes,yes,yes,yes,no,4,4,222,4,1,2,5,2,7,9,8,0.4
M,18,U,0,4,3,teacher,other,1,2,29,0,no,yes,yes,no,no,yes,yes,no,4,3,214,2,1,1,3,2,8,8,8,0.4
M,18,U,0,2,2,other,other,1,4,91,0,no,yes,no,yes,yes,yes,yes,no,4,5,212,5,2,4,5,2,9,8,8,0.4
F,16,U,0,3,3,other,other,1,3,54,0,no,yes,yes,no,yes,yes,yes,yes,4,3,208,3,1,3,4,0,7,7,8,0.4
F,16,U,0,4,3,other,at_home,1,3,52,0,yes,yes,yes,no,yes,yes,yes,no,5,3,217,5,1,1,3,0,7,9,8,0.4
F,16,U,0,2,2,other,other,1,2,30,0,no,no,yes,no,yes,yes,yes,yes,5,4,237,4,1,1,5,0,8,7,8,0.4
M,18,U,0,3,2,services,other,2,1,12,1,no,no,no,no,yes,no,yes,no,4,4,226,5,2,4,5,0,6,8,8,0.4
M,16,R,1,2,1,other,other,2,1,1,0,no,no,no,yes,no,yes,no,no,3,3,208,2,1,3,3,0,8,9,8,0.4
M,16,U,0,4,4,teacher,health,1,2,20,0,no,yes,no,no,yes,yes,no,no,4,1,234,3,3,5,5,18,8,6,7,0.35
F,18,R,1,3,1,other,other,1,2,19,1,no,no,no,yes,yes,yes,yes,yes,5,3,213,3,1,1,4,16,9,8,7,0.35
M,15,R,1,3,2,other,other,2,2,21,2,yes,yes,no,no,yes,yes,yes,yes,4,4,201,4,1,4,3,6,5,9,7,0.35
F,17,R,1,4,3,teacher,other,2,3,59,0,no,yes,yes,yes,yes,yes,yes,yes,4,4,224,2,1,1,4,6,7,7,7,0.35
F,16,U,0,3,1,services,other,1,2,18,3,no,yes,yes,no,yes,yes,yes,no,2,3,213,3,2,2,4,5,7,7,7,0.35
M,18,R,1,2,1,other,other,2,1,3,0,no,no,no,yes,no,yes,yes,yes,4,4,203,3,1,3,5,5,7,6,7,0.35
M,21,R,1,1,1,other,other,1,1,1,3,no,no,no,no,no,yes,no,no,5,5,222,3,3,3,3,3,10,8,7,0.35
F,15,U,0,4,4,services,teacher,1,2,26,1,yes,yes,no,yes,no,yes,yes,no,4,4,212,4,1,1,3,2,7,7,7,0.35
M,17,R,1,1,1,other,services,4,2,21,3,no,no,no,yes,yes,no,no,yes,5,3,224,5,1,5,5,0,5,8,7,0.35
F,15,U,0,3,2,services,other,2,2,16,0,yes,yes,yes,no,yes,yes,yes,no,4,3,224,5,1,1,2,26,7,6,6,0.3
F,17,R,1,2,2,other,other,1,1,14,0,no,yes,no,no,yes,yes,yes,no,5,3,221,2,1,2,3,18,7,6,6,0.3
M,16,U,0,1,1,other,other,2,2,26,0,no,yes,yes,no,yes,yes,yes,no,3,4,239,2,1,1,5,18,9,7,6,0.3
F,15,U,0,3,2,services,other,1,2,16,0,no,yes,yes,no,yes,yes,yes,no,4,4,203,4,1,1,5,10,7,6,6,0.3
F,15,U,0,4,3,other,other,1,2,21,0,yes,yes,yes,yes,yes,yes,yes,yes,5,2,217,2,1,1,5,8,8,8,6,0.3
F,18,R,1,4,4,teacher,at_home,3,1,13,0,no,yes,yes,yes,yes,yes,yes,yes,4,4,216,3,2,2,5,7,6,5,6,0.3
F,18,U,0,4,4,at_home,teacher,2,2,28,0,yes,no,no,no,yes,yes,no,no,4,3,215,4,1,1,3,6,5,6,6,0.3
F,17,U,0,4,4,other,teacher,2,2,24,0,yes,yes,no,no,yes,yes,no,no,4,1,240,4,1,1,1,6,6,5,6,0.3
F,17,U,0,1,1,at_home,other,1,2,27,0,no,yes,no,no,no,yes,yes,no,5,3,219,3,1,1,3,4,5,5,6,0.3
F,16,U,0,3,1,services,other,1,4,75,0,yes,yes,yes,no,yes,yes,yes,no,4,3,213,3,1,2,5,4,7,7,6,0.3
F,16,U,0,2,2,at_home,other,1,2,26,0,no,yes,no,no,yes,yes,no,no,4,3,231,4,1,2,2,4,8,7,6,0.3
F,16,U,0,3,1,other,other,1,2,24,0,yes,yes,no,no,yes,yes,no,no,3,3,233,3,2,3,2,4,7,6,6,0.3
M,17,U,0,3,3,other,other,1,2,27,0,no,no,no,yes,no,yes,yes,no,4,3,200,4,1,4,4,4,6,5,6,0.3
F,17,R,1,2,1,at_home,services,2,2,28,0,no,yes,no,yes,yes,yes,yes,no,4,2,235,5,1,2,5,2,6,6,6,0.3
F,15,U,0,2,3,other,other,2,1,14,0,no,yes,no,yes,yes,yes,no,no,3,5,218,1,1,1,5,0,8,7,6,0.3
M,17,U,0,3,2,services,services,1,1,11,3,no,yes,no,yes,yes,yes,yes,no,5,5,231,5,2,4,5,16,6,5,5,0.25
M,16,U,0,4,4,services,services,1,1,11,0,yes,yes,yes,yes,yes,yes,yes,no,4,5,207,5,5,5,4,14,7,7,5,0.25
F,17,R,1,1,2,other,other,1,1,10,0,no,no,no,yes,yes,yes,yes,no,3,5,204,5,1,3,1,14,6,5,5,0.25
M,18,R,1,4,2,other,other,2,1,1,1,no,no,yes,no,yes,yes,no,no,5,4,216,3,4,3,3,14,6,5,5,0.25
F,16,U,0,3,4,at_home,other,1,2,23,0,no,yes,no,no,yes,yes,yes,no,2,4,234,3,1,2,3,12,5,5,5,0.25
M,18,R,1,3,3,other,services,1,2,25,1,no,yes,no,no,yes,yes,yes,yes,4,3,201,3,1,3,5,8,3,5,5,0.25
F,15,R,1,1,1,other,other,1,2,27,2,yes,yes,no,no,no,yes,yes,yes,3,3,206,4,2,4,5,2,8,6,5,0.25
F,17,U,0,4,3,other,other,1,2,27,2,no,no,yes,no,yes,yes,yes,yes,3,4,226,5,2,4,1,22,6,6,4,0.2
M,18,R,1,2,2,services,other,1,1,9,2,no,yes,no,yes,yes,yes,yes,no,3,3,300,3,1,2,4,0,7,4,0,0
F,15,R,1,3,4,services,teacher,2,3,46,2,no,yes,no,no,yes,yes,yes,yes,4,2,300,2,2,2,5,0,12,0,0,0
F,15,U,0,1,1,at_home,other,3,1,5,0,no,yes,no,yes,no,yes,yes,yes,4,3,300,3,1,2,4,0,8,0,0,0
M,15,R,1,3,4,at_home,teacher,4,2,18,0,no,yes,no,no,yes,yes,no,yes,5,3,300,3,1,1,5,0,9,0,0,0
F,15,U,0,4,4,services,at_home,1,3,31,0,no,yes,no,yes,yes,yes,yes,yes,4,3,300,3,1,1,5,0,11,0,0,0
M,17,R,1,3,4,at_home,other,3,2,30,0,no,no,no,no,yes,yes,no,no,5,4,300,5,2,4,5,0,10,0,0,0
F,16,U,0,3,3,other,other,2,1,13,2,no,yes,no,yes,no,yes,yes,yes,4,3,300,2,1,1,5,0,4,0,0,0
M,15,U,0,4,3,teacher,services,2,4,113,0,yes,yes,no,no,yes,yes,yes,no,2,2,300,2,1,1,3,0,7,9,0,0
M,17,U,0,2,1,other,other,1,1,15,3,no,yes,no,no,yes,yes,yes,no,5,4,300,5,1,2,5,0,5,0,0,0
F,15,U,0,3,2,health,services,1,2,29,3,no,yes,no,no,yes,yes,yes,no,3,3,300,2,1,1,3,0,6,7,0,0
M,16,U,0,4,4,teacher,teacher,1,1,12,0,no,yes,no,no,yes,no,yes,yes,3,3,300,2,2,1,5,0,7,6,0,0
M,18,U,0,1,1,other,other,1,1,15,3,no,no,no,no,yes,no,yes,yes,2,3,300,5,2,5,4,0,6,5,0,0
M,19,U,0,3,2,services,at_home,1,1,1,3,no,yes,no,no,yes,no,yes,yes,4,5,300,4,1,1,4,0,5,0,0,0
M,17,R,1,2,1,at_home,other,2,1,4,2,no,no,no,yes,yes,no,yes,yes,3,3,300,2,2,2,5,0,7,6,0,0
M,16,U,0,1,2,other,other,2,1,3,1,no,no,no,yes,yes,yes,no,no,4,4,300,4,2,4,5,0,7,0,0,0
F,16,U,0,2,2,other,other,1,2,28,0,no,yes,yes,no,no,yes,yes,no,5,1,300,5,1,1,4,0,6,7,0,0
M,16,U,0,3,4,other,other,3,1,10,2,no,yes,no,yes,no,yes,yes,no,3,4,300,5,2,4,2,0,6,5,0,0
F,16,U,0,1,3,at_home,services,1,2,29,3,no,no,no,yes,no,yes,yes,yes,4,3,300,5,1,1,3,0,8,7,0,0
F,17,U,0,1,1,at_home,other,1,3,41,1,no,yes,no,yes,yes,yes,no,yes,4,3,300,4,1,1,5,0,6,5,0,0
M,18,U,0,2,2,other,services,1,2,21,1,no,no,no,no,yes,no,yes,no,5,5,300,4,3,5,2,0,7,7,0,0
M,16,U,0,4,3,teacher,other,1,1,4,0,no,no,no,yes,no,yes,yes,no,5,4,300,5,1,1,3,0,6,0,0,0
F,18,U,0,2,1,other,other,2,3,44,0,no,yes,yes,no,no,yes,yes,yes,4,4,300,4,1,1,3,0,7,0,0,0
F,17,U,0,2,2,services,services,1,4,101,0,no,no,yes,yes,yes,yes,yes,yes,3,4,300,1,1,1,2,0,10,9,0,0
F,18,U,0,2,2,at_home,services,1,3,55,0,no,yes,yes,yes,yes,yes,yes,yes,4,3,300,3,1,1,3,0,9,10,0,0
F,18,R,1,2,1,other,other,2,2,29,0,no,yes,no,no,yes,no,yes,yes,4,3,300,5,1,2,3,0,6,0,0,0
F,19,U,0,4,4,health,other,2,2,29,0,no,yes,yes,yes,yes,yes,yes,no,2,3,300,4,2,3,2,0,10,9,0,0
F,19,U,0,1,2,services,services,1,2,26,1,no,no,no,yes,no,yes,no,yes,4,2,300,4,2,2,3,0,9,9,0,0
F,18,U,0,2,1,services,other,2,2,25,0,no,yes,yes,yes,yes,yes,yes,no,5,3,300,3,1,2,1,0,8,8,0,0
